,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
Richard Barnes,Richard,Barnes,MD,yes,6500,8,2960.55132,8
Richard Cary,Richard,Cary,VA,no,7400,21,1586.4069619999998,21
Richard F. Cutts,Richard F.,Cutts,MA,no,500,1,25.22917,1
Richard Hutson,Richard,Hutson,SC,yes,10000,4,1022.9722999999999,4
Richard Law,Richard,Law,CT,yes,1800,6,1800.0,6
Richard Nixon,Richard,Nixon,NC,yes,500,1,44.99306,1
Richard Potts,Richard,Potts,MD,yes,6300,19,489.47501000000005,19
Richard Smith,Richard,Smith,DE,yes,7900,20,702.4277999999999,20
Richard Thomas,Richard,Thomas,MD,yes,600,3,54.68334,3
Robert Adam,Robert,Adam,NC,yes,2800,4,70.0,4
Robert Alexander,Robert,Alexander,VA,no,5000,1,634.2361,1
Robert Andrews,Robert,Andrews,VA,yes,5000,11,584.9305699999999,11
Robert B. Wilkins,Robert B.,Wilkins,NH,yes,3000,6,1157.6388,6
Robert Coleman,Robert,Coleman,PA,yes,206200,306,5155.001389999999,306
Robert Edwards,Robert,Edwards,NC,no,800,2,64.98888000000001,2
Robert Ewing,Robert,Ewing,NC,yes,500,1,101.0486,1
Robert Hoops,Robert,Hoops,NJ,yes,27700,33,975.0750200000003,33
Robert Morris,Robert,Morris,Constitution,yes,405700,309,67275.16728999997,309
Robert Ogden,Robert,Ogden,NJ,yes,1800,3,143.47500000000002,3
Robert Patton,Robert,Patton,SC,no,400,1,10.0,1
Robert R. Livingston,Robert R.,Livingston,NY,yes,12600,12,5566.63883,12
Robert Rutherford,Robert,Rutherford,SC,no,5000,3,146.1111,3
Robert Whitehill,Robert,Whitehill,PA,no,9900,15,3944.20844,15
Robert Williams,Robert,Williams,VA,no,1500,4,156.86111,4
Robert Wilson,Robert,Wilson,MA,no,900,2,199.44580000000002,2
Roger Sherman,Roger,Sherman,Constitution,yes,2000,7,944.1097699999999,7
Samuel Adams,Samuel,Adams,MA,yes,500,1,34.07639,1
Samuel Ashmead,Samuel,Ashmead,PA,yes,4800,10,1219.5166600000002,10
Samuel Baker,Samuel,Baker,MA,yes,5200,10,1723.2943800000003,10
Samuel Carver,Samuel,Carver,CT,yes,4000,9,137.27778999999998,9
Samuel Chase,Samuel,Chase,MD,no,1600,3,122.94167000000002,3
Samuel Edmison,Samuel,Edmison,VA,no,600,1,45.43333,1
Samuel Grant,Samuel,Grant,MA,yes,700,2,700.0,2
Samuel Griffin,Samuel,Griffin,NH,yes,59900,41,24838.71125,41
Samuel Hay,Samuel,Hay,NJ,yes,2900,6,72.5,6
"Samuel Hopkins, Jun.",Samuel,"Hopkins, Jun.",VA,no,300,1,300.0,1
Samuel Johnston,Samuel,Johnston,NC,yes,5700,7,635.7570400000001,7
Samuel Jones,Samuel,Jones,NY,yes,11300,24,1652.2513400000007,24
Samuel Langdon,Samuel,Langdon,NH,yes,2000,6,248.03332999999998,6
Samuel Mason,Samuel,Mason,NC,yes,1200,2,45.77778,2
Samuel Orton,Samuel,Orton,CT,yes,3900,8,1240.0471599999998,8
